"flpr","education0","education1","education2","education3","education4","education5","education6","education7","single","married","widowed","divorced","ss_gdp"
38.4,0,0,1,0,0,0,0,0,0,0,0,1,18.537
57,0,0,0,1,0,0,0,0,1,0,0,0,18.537
50.4,0,0,0,1,0,0,0,0,0,1,0,0,18.537
16.9,0,0,0,1,0,0,0,0,0,0,1,0,18.537
58.2,0,0,0,1,0,0,0,0,0,0,0,1,18.537
78.5,0,0,0,0,1,0,0,0,1,0,0,0,18.537
65.6,0,0,0,0,1,0,0,0,0,1,0,0,18.537
29.9,0,0,0,0,1,0,0,0,0,0,1,0,18.537
70.7,0,0,0,0,1,0,0,0,0,0,0,1,18.537
82.9,0,0,0,0,0,1,0,0,1,0,0,0,18.537
67.4,0,0,0,0,0,1,0,0,0,1,0,0,18.537
26.9,0,0,0,0,0,1,0,0,0,0,1,0,18.537
74.7,0,0,0,0,0,1,0,0,0,0,0,1,18.537
81.5,0,0,0,0,0,0,1,0,1,0,0,0,18.537
71.3,0,0,0,0,0,0,1,0,0,1,0,0,18.537
33.5,0,0,0,0,0,0,1,0,0,0,1,0,18.537
74.6,0,0,0,0,0,0,1,0,0,0,0,1,18.537
85.4,0,0,0,0,0,0,0,1,1,0,0,0,18.537
78.5,0,0,0,0,0,0,0,1,0,1,0,0,18.537
40.8,0,0,0,0,0,0,0,1,0,0,1,0,18.537
76,0,0,0,0,0,0,0,1,0,0,0,1,18.537
27.6,1,0,0,0,0,0,0,0,1,0,0,0,18.439
27.3,1,0,0,0,0,0,0,0,0,1,0,0,18.439
6.7,1,0,0,0,0,0,0,0,0,0,1,0,18.439
32.9,1,0,0,0,0,0,0,0,0,0,0,1,18.439
39.9,0,1,0,0,0,0,0,0,1,0,0,0,18.439
35.2,0,1,0,0,0,0,0,0,0,1,0,0,18.439
7.8,0,1,0,0,0,0,0,0,0,0,1,0,18.439
45.6,0,1,0,0,0,0,0,0,0,0,0,1,18.439
26.8,0,0,1,0,0,0,0,0,1,0,0,0,18.439
31.6,0,0,1,0,0,0,0,0,0,1,0,0,18.439
7.7,0,0,1,0,0,0,0,0,0,0,1,0,18.439
39,0,0,1,0,0,0,0,0,0,0,0,1,18.439
56.7,0,0,0,1,0,0,0,0,1,0,0,0,18.439
51,0,0,0,1,0,0,0,0,0,1,0,0,18.439
17.2,0,0,0,1,0,0,0,0,0,0,1,0,18.439
59.7,0,0,0,1,0,0,0,0,0,0,0,1,18.439
79,0,0,0,0,1,0,0,0,1,0,0,0,18.439
66.5,0,0,0,0,1,0,0,0,0,1,0,0,18.439
28.8,0,0,0,0,1,0,0,0,0,0,1,0,18.439
73.6,0,0,0,0,1,0,0,0,0,0,0,1,18.439
84.2,0,0,0,0,0,1,0,0,1,0,0,0,18.439
68.1,0,0,0,0,0,1,0,0,0,1,0,0,18.439
28.4,0,0,0,0,0,1,0,0,0,0,1,0,18.439
75.2,0,0,0,0,0,1,0,0,0,0,0,1,18.439
82.6,0,0,0,0,0,0,1,0,1,0,0,0,18.439
71.5,0,0,0,0,0,0,1,0,0,1,0,0,18.439
30,0,0,0,0,0,0,1,0,0,0,1,0,18.439
75,0,0,0,0,0,0,1,0,0,0,0,1,18.439
79.9,0,0,0,0,0,0,0,1,1,0,0,0,18.439
78.2,0,0,0,0,0,0,0,1,0,1,0,0,18.439
37.6,0,0,0,0,0,0,0,1,0,0,1,0,18.439
79.1,0,0,0,0,0,0,0,1,0,0,0,1,18.439
24.6,1,0,0,0,0,0,0,0,1,0,0,0,18.428
23.3,1,0,0,0,0,0,0,0,0,1,0,0,18.428
2.4,1,0,0,0,0,0,0,0,0,0,1,0,18.428
27.6,1,0,0,0,0,0,0,0,0,0,0,1,18.428
40.2,0,1,0,0,0,0,0,0,1,0,0,0,18.428
33.8,0,1,0,0,0,0,0,0,0,1,0,0,18.428
8.8,0,1,0,0,0,0,0,0,0,0,1,0,18.428
44.9,0,1,0,0,0,0,0,0,0,0,0,1,18.428
25.6,0,0,1,0,0,0,0,0,1,0,0,0,18.428
33.3,0,0,1,0,0,0,0,0,0,1,0,0,18.428
7.5,0,0,1,0,0,0,0,0,0,0,1,0,18.428
37.3,0,0,1,0,0,0,0,0,0,0,0,1,18.428
56.9,0,0,0,1,0,0,0,0,1,0,0,0,18.428
51.8,0,0,0,1,0,0,0,0,0,1,0,0,18.428
16.8,0,0,0,1,0,0,0,0,0,0,1,0,18.428
60.4,0,0,0,1,0,0,0,0,0,0,0,1,18.428
80.1,0,0,0,0,1,0,0,0,1,0,0,0,18.428
68.3,0,0,0,0,1,0,0,0,0,1,0,0,18.428
30.4,0,0,0,0,1,0,0,0,0,0,1,0,18.428
73.7,0,0,0,0,1,0,0,0,0,0,0,1,18.428
84.1,0,0,0,0,0,1,0,0,1,0,0,0,18.428
67.7,0,0,0,0,0,1,0,0,0,1,0,0,18.428
29.1,0,0,0,0,0,1,0,0,0,0,1,0,18.428
76.4,0,0,0,0,0,1,0,0,0,0,0,1,18.428
84.3,0,0,0,0,0,0,1,0,1,0,0,0,18.428
72.5,0,0,0,0,0,0,1,0,0,1,0,0,18.428
29.3,0,0,0,0,0,0,1,0,0,0,1,0,18.428
76.2,0,0,0,0,0,0,1,0,0,0,0,1,18.428
78.7,0,0,0,0,0,0,0,1,1,0,0,0,18.428
80.2,0,0,0,0,0,0,0,1,0,1,0,0,18.428
41.5,0,0,0,0,0,0,0,1,0,0,1,0,18.428
79.2,0,0,0,0,0,0,0,1,0,0,0,1,18.428
27.4,1,0,0,0,0,0,0,0,1,0,0,0,18.46
27.7,1,0,0,0,0,0,0,0,0,1,0,0,18.46
6.3,1,0,0,0,0,0,0,0,0,0,1,0,18.46
37.8,1,0,0,0,0,0,0,0,0,0,0,1,18.46
42.4,0,1,0,0,0,0,0,0,1,0,0,0,18.46
35,0,1,0,0,0,0,0,0,0,1,0,0,18.46
9.1,0,1,0,0,0,0,0,0,0,0,1,0,18.46
49.3,0,1,0,0,0,0,0,0,0,0,0,1,18.46
26.7,0,0,1,0,0,0,0,0,1,0,0,0,18.46
34.2,0,0,1,0,0,0,0,0,0,1,0,0,18.46
8.9,0,0,1,0,0,0,0,0,0,0,1,0,18.46
36.7,0,0,1,0,0,0,0,0,0,0,0,1,18.46
56.9,0,0,0,1,0,0,0,0,1,0,0,0,18.46
52.9,0,0,0,1,0,0,0,0,0,1,0,0,18.46
17.2,0,0,0,1,0,0,0,0,0,0,1,0,18.46
61.8,0,0,0,1,0,0,0,0,0,0,0,1,18.46
80.1,0,0,0,0,1,0,0,0,1,0,0,0,18.46
69.2,0,0,0,0,1,0,0,0,0,1,0,0,18.46
31.2,0,0,0,0,1,0,0,0,0,0,1,0,18.46
75.3,0,0,0,0,1,0,0,0,0,0,0,1,18.46
84.2,0,0,0,0,0,1,0,0,1,0,0,0,18.46
68,0,0,0,0,0,1,0,0,0,1,0,0,18.46
29.7,0,0,0,0,0,1,0,0,0,0,1,0,18.46
78.4,0,0,0,0,0,1,0,0,0,0,0,1,18.46
84.1,0,0,0,0,0,0,1,0,1,0,0,0,18.46
72.6,0,0,0,0,0,0,1,0,0,1,0,0,18.46
32.5,0,0,0,0,0,0,1,0,0,0,1,0,18.46
75.9,0,0,0,0,0,0,1,0,0,0,0,1,18.46
85.9,0,0,0,0,0,0,0,1,1,0,0,0,18.46
81.6,0,0,0,0,0,0,0,1,0,1,0,0,18.46
44.6,0,0,0,0,0,0,0,1,0,0,1,0,18.46
81.2,0,0,0,0,0,0,0,1,0,0,0,1,18.46
